trial,time,objects retrieved,size
trial,0,time,333.79,objects retrieved,2,size,15
trial,1,time,653.99,objects retrieved,4,size,15
trial,2,time,964.33,objects retrieved,9,size,15
trial,3,time,1249.75,objects retrieved,5,size,15
trial,4,time,1550.05,objects retrieved,4,size,15
trial,5,time,1849.98,objects retrieved,6,size,15
trial,6,time,2163.25,objects retrieved,6,size,15
trial,7,time,2463.62,objects retrieved,3,size,15
trial,8,time,2779.64,objects retrieved,6,size,15
trial,9,time,3096.53,objects retrieved,4,size,15
trial,10,time,3408.78,objects retrieved,2,size,15
trial,11,time,3715.86,objects retrieved,4,size,15
trial,12,time,4031.26,objects retrieved,2,size,15
trial,13,time,4333.38,objects retrieved,2,size,15
trial,14,time,4634.03,objects retrieved,6,size,15
trial,15,time,4951.04,objects retrieved,3,size,15
