,agent id,time step,fitness,xpos,ypos
0,1,1.08,0,-0.11575236435895096,0.00029884468891069383
1,1,2.24,0,-0.11602168995831665,0.000559026565644796
0,2,1.12,0,0.24423955923301838,0.00030871469756556615
1,2,2.2800000000000002,0,0.24396702502696022,0.0005692661263516094
0,3,1.16,0,0.6205288003323189,-1.2980216328477629e-09
1,3,2.32,0,0.637926206846689,-8.828797433916447e-09
