,trial,time,objects retrieved
0,2,150,19
1,2,150,12
2,2,150,10
3,2,150,3
4,2,150,2
5,2,150,4
6,2,150,2
7,2,150,1
8,2,150,3
9,2,150,0
10,2,150,4
11,2,150,2
12,2,150,15
13,2,150,0
14,2,150,0
