,agent id,time step,time since last block
0,1,0,945
1,1,10,1858
2,1,10,2735
3,1,0,3686
4,1,10,4652
5,1,0,5608
6,1,0,6549
7,1,10,7422
8,1,0,8315
9,1,10,9167
10,1,0,0
11,1,10,535
12,1,0,1061
13,1,0,1561
14,1,10,2047
15,1,10,2678
16,1,0,3539
17,1,0,4426
18,1,10,5243
19,1,10,6061
20,1,10,0
21,1,10,0
22,1,10,486
23,1,10,951
24,1,10,1394
25,1,10,1937
26,1,10,2662
27,1,10,3377
28,1,10,4107
29,1,10,4827
30,1,0,0
31,1,10,497
32,1,0,946
33,1,0,1387
34,1,0,1805
35,1,10,2287
36,1,0,2873
37,1,10,3448
38,1,0,4020
39,1,10,4582
40,1,10,0
41,1,0,463
42,1,10,905
43,1,10,1351
44,1,10,1893
45,1,10,2347
46,1,10,2764
47,1,10,3183
48,1,10,0
49,1,10,306
50,1,10,702
51,1,0,0
52,1,0,455
53,1,10,916
54,1,10,1385
55,1,0,1859
56,1,10,2293
57,1,10,2678
58,1,10,3135
59,1,0,3585
60,1,10,4018
61,1,10,0
62,1,0,448
63,1,0,891
64,1,0,1328
65,1,0,1749
66,1,10,2160
67,1,0,2555
68,1,0,2976
69,1,0,3384
70,1,0,3789
71,1,0,0
72,1,0,443
73,1,10,892
74,1,10,1328
75,1,10,1761
76,1,0,2164
77,1,10,2539
78,1,10,2954
79,1,10,3351
80,1,0,3750
81,1,0,0
82,1,10,446
83,1,0,883
84,1,10,1323
85,1,0,1758
86,1,10,2162
87,1,10,2544
88,1,10,2967
89,1,10,3375
90,1,10,3778
91,1,10,4269
92,1,10,4712
93,1,10,5147
94,1,0,5579
95,1,10,5988
96,1,10,0
97,1,10,0
98,1,10,625
99,1,10,1445
100,1,10,2270
101,1,10,3086
102,1,10,0
103,1,10,364
104,1,10,805
105,1,0,1245
106,1,0,1677
107,1,10,0
108,1,10,83
109,1,10,879
110,1,10,1703
111,1,0,2527
112,1,10,3352
113,1,10,3879
114,1,10,4340
115,1,10,4775
116,1,10,5205
117,1,10,5573
118,1,10,0
119,1,10,89
120,1,0,507
121,1,10,911
122,1,0,1311
123,1,20,0
124,1,10,458
125,1,10,907
126,1,10,1353
127,1,10,1776
128,1,10,2203
129,1,10,0
130,1,10,261
131,1,10,688
132,1,10,1102
133,1,10,1504
134,1,10,0
135,1,10,0
136,1,10,350
137,1,0,788
138,1,0,1226
139,1,0,1631
140,1,10,2060
141,1,10,2484
142,1,10,0
143,1,10,251
144,1,10,666
145,1,10,0
146,1,0,49
147,1,10,537
148,1,10,984
149,1,0,1415
150,1,10,1825
151,1,10,2260
152,1,10,2684
153,1,10,0
154,1,10,0
155,1,10,411
156,1,0,814
157,1,10,0
158,1,10,0
