,agent id,time step,time since last block
0,2,10,834
1,2,10,1631
2,2,10,2426
3,2,10,3225
4,2,10,4012
5,2,0,4797
6,2,0,5580
7,2,0,6362
8,2,10,7148
9,2,10,7935
10,2,10,0
11,2,10,486
12,2,10,968
13,2,10,1442
14,2,10,1914
15,2,0,2696
16,2,0,3509
17,2,0,4350
18,2,10,5134
19,2,10,5920
20,2,0,6784
21,2,10,7601
22,2,10,0
23,2,10,271
24,2,0,0
25,2,10,297
26,2,10,1018
27,2,10,1732
28,2,10,2427
29,2,10,3133
30,2,10,3839
31,2,10,0
32,2,10,86
33,2,10,504
34,2,0,1009
35,2,10,1585
36,2,10,2188
37,2,0,2783
38,2,10,3367
39,2,10,3940
40,2,10,4515
41,2,0,0
42,2,10,0
43,2,10,424
44,2,10,848
45,2,10,1277
46,2,10,1652
47,2,10,2213
48,2,10,2781
49,2,10,3318
50,2,10,3854
51,2,10,4391
52,2,0,5269
53,2,10,6090
54,2,10,6947
55,2,0,7796
56,2,10,8647
57,2,10,9496
58,2,10,10342
59,2,10,11191
60,2,10,12035
61,2,10,12510
62,2,10,12927
63,2,0,0
64,2,10,338
65,2,0,691
66,2,10,1194
67,2,10,1696
68,2,10,2178
69,2,10,2657
70,2,10,3130
71,2,10,0
72,2,10,331
73,2,10,742
74,2,10,1165
75,2,10,1511
76,2,10,1994
77,2,10,2474
78,2,10,2946
79,2,10,3398
80,2,10,3852
81,2,10,4321
82,2,0,4731
83,2,10,5143
84,2,0,5541
85,2,0,5943
86,2,10,6343
87,2,10,6743
88,2,10,7117
89,2,0,7496
90,2,10,0
91,2,10,326
92,2,10,739
93,2,10,0
94,2,10,249
95,2,0,591
96,2,10,1050
97,2,10,1509
98,2,10,1965
99,2,10,2403
100,2,10,2837
101,2,10,0
102,2,10,326
103,2,10,739
104,2,10,1147
105,2,0,1477
106,2,10,1932
107,2,10,2378
108,2,10,2824
109,2,10,3249
110,2,10,3678
111,2,10,4570
112,2,10,0
113,2,0,250
114,2,10,659
115,2,10,1066
116,2,0,1512
117,2,10,1959
118,2,0,2399
119,2,10,2824
120,2,10,3245
121,2,10,0
122,2,0,0
123,2,10,410
124,2,10,820
125,2,10,1185
126,2,10,1632
127,2,10,2079
128,2,10,2522
129,2,10,2939
130,2,10,3358
131,2,0,0
132,2,10,0
133,2,10,327
134,2,10,819
135,2,0,1229
136,2,0,1566
137,2,0,2010
138,2,10,2452
139,2,0,2894
140,2,10,3312
141,2,0,3729
142,2,10,0
143,2,10,322
144,2,10,795
145,2,10,1204
146,2,10,1612
147,2,10,2017
148,2,10,2423
149,2,10,2824
150,2,0,3197
151,2,0,3578
152,2,10,0
153,2,10,0
