,agent id,time step,straight,alternating-left,alternating-right,true random,time since last block
0,2,0,0.25,0.25,0.25,0.25,274
1,2,10,0.5820203685191211,0.36625132440433766,0.2414730365162698,0.5463954643400136,1477
2,2,10,0.8983326353829005,1.0,0.42550625122260144,0.0,1754
3,2,10,0.923858717290785,0.7606009851242412,1.0,0.0,2977
4,2,10,0.9928490135380603,0.7450502538075039,0.0,1.0,4216
5,2,10,0.9928490135380603,0.7450502538075039,0.0,1.0,0
6,2,10,0.9928490135380603,0.7450502538075039,0.0,1.0,29
7,2,10,0.9928490135380603,0.7450502538075039,0.0,1.0,497
8,2,10,0.9928490135380603,0.7450502538075039,0.0,1.0,0
9,2,10,0.9928490135380603,0.7450502538075039,0.0,1.0,97
10,2,10,0.9928490135380603,0.7450502538075039,0.0,1.0,1
11,2,10,0.9928490135380603,0.7450502538075039,0.0,1.0,4
12,2,10,0.9928490135380603,0.7450502538075039,0.0,1.0,1289
13,2,10,0.11348899011885434,0.16229587716123883,1.0,0.0,3000
14,2,10,0.11348899011885434,0.16229587716123883,1.0,0.0,11
15,2,0,0.11348899011885434,0.16229587716123883,1.0,0.0,2
16,2,10,0.11348899011885434,0.16229587716123883,1.0,0.0,293
17,2,10,0.11348899011885434,0.16229587716123883,1.0,0.0,7
18,2,10,0.11348899011885434,0.16229587716123883,1.0,0.0,15
19,2,10,0.11348899011885434,0.16229587716123883,1.0,0.0,50
20,2,0,0.11348899011885434,0.16229587716123883,1.0,0.0,690
21,2,10,0.0,1.0,0.03892743295202992,0.49311718004870764,1121
22,2,10,0.70359301293819,0.4497551896601773,1.0,0.0,2094
23,2,10,1.0,0.0,0.8558227114703417,0.11393046304317858,3156
24,2,10,1.0,0.982665678184166,0.0,0.8447400582765324,3916
25,2,10,0.9559609527962043,1.0,0.9067064011104523,0.0,4503
26,2,0,0.9559609527962043,1.0,0.9067064011104523,0.0,729
27,2,10,0.5633062767849624,0.9383173863283509,1.0,0.0,1308
28,2,10,0.0,1.0,0.17798361263775989,0.08615957488196364,2263
29,2,0,0.0,1.0,0.13769673781372796,0.8718397177309302,3200
30,2,10,1.0,0.0,0.8309186456363904,0.20989439282324582,7297
31,2,10,1.0,0.972444517271146,0.0,0.8308400234374081,9149
32,2,0,1.0,0.8293788641517603,0.97263386287775,0.0,9922
33,2,10,0.7161832036632787,0.6748139950252077,0.0,1.0,10587
34,2,10,1.0,0.9791327176252591,0.8203943929268245,0.0,11377
35,2,0,0.6792044089804689,0.8430097377385962,1.0,0.0,11661
36,2,10,0.2708043423180996,0.0,0.6449302268549899,1.0,12530
37,2,10,0.40203155916339295,0.4105771821930182,0.0,1.0,12830
38,2,0,0.8753597428405909,0.8591175385803853,1.0,0.0,12831
39,2,10,0.8753597428405909,0.8591175385803853,1.0,0.0,1057
40,2,0,0.9834730027780011,0.15711981346262385,0.0,1.0,2105
41,2,0,1.0,0.0,0.36986327773889016,0.13206059333719383,3161
42,2,0,1.0,0.0,0.4436037953146833,0.44534354051006764,3162
43,2,10,1.0,0.0,0.4436037953146833,0.44534354051006764,478
44,2,10,0.2581008157805748,1.0,0.2878942383266927,0.0,1600
45,2,0,0.13246882172008045,1.0,0.0,0.9403380581101071,1601
46,2,10,0.13246882172008045,1.0,0.0,0.9403380581101071,731
47,2,0,0.0,1.0,0.09032419291229303,0.8565770955784046,1761
48,2,10,0.02426242377143803,1.0,0.0,0.5983613744979716,2485
49,2,10,1.0,0.0,0.39090124399655785,0.6161077954939461,3178
50,2,0,1.0,0.19249125310724094,0.0,0.7626447783135589,4616
51,2,0,1.0,0.3102005563726932,0.9690604686933207,0.0,4617
52,2,10,1.0,0.3102005563726932,0.9690604686933207,0.0,463
53,2,10,1.0,0.1575896936095318,0.05963229570267399,0.0,1259
54,2,10,1.0,0.0,0.3988542994528568,0.4793668068750726,1688
55,2,0,1.0,0.6115378389062864,0.4779885064521559,0.0,4089
56,2,10,1.0,0.0,0.4380374144478558,0.7080546269287034,6132
57,2,0,1.0,0.0,0.4380374144478558,0.7080546269287034,741
58,2,10,0.3766350912522902,0.31473084934210277,1.0,0.0,5876
