,agent id,time step,straight,alternating-left,alternating-right,true random,time since last block
0,0,0,0.25,0.25,0.25,0.25,212
1,0,0,0.25,0.25,0.25,0.25,232
2,0,0,0.1621192168543133,0.7521957930463142,0.11317636560482551,0.7862477722393991,1333
3,0,0,0.12123741172922639,0.09801459090014729,1.0,0.0,1895
4,0,0,0.01577854787418454,0.0245253005288291,0.0,1.0,2344
5,0,10,0.6309055728384352,0.6701977426853616,1.0,0.0,2344
6,0,0,0.6309055728384352,0.6701977426853616,1.0,0.0,826
7,0,0,1.0,0.2603231328087844,0.007901929809911473,0.0,1105
8,0,0,0.6159205686365475,1.0,0.2443402334720645,0.0,1840
9,0,0,1.0,0.0,0.978354530717783,0.013201126759630444,2794
10,0,0,0.8989517657103708,1.0,0.0,0.8942302063379469,3341
11,0,0,0.8892545458027933,0.8328785035210841,1.0,0.0,3873
12,0,0,0.3793926733029063,0.6573940266235373,0.0,1.0,3874
13,0,0,0.3793926733029063,0.6573940266235373,0.0,1.0,753
14,0,0,1.0,0.2757183808581865,0.0,0.10788904689461104,1296
15,0,0,0.9608965088318676,0.0,1.0,0.16179038311890523,2250
16,0,0,0.45875507811949096,1.0,0.7285929371571563,0.0,3162
17,0,0,1.0,0.0,0.2793209730029972,0.17658178693360257,3962
18,0,0,1.0,0.9862590542177537,0.0,0.3096424625602866,4478
19,0,0,1.0,0.8776239342282702,0.967241122988697,0.0,4757
20,0,0,0.42004661149138295,0.5719329787755406,0.0,1.0,5288
21,0,0,0.6927655191616693,0.6354133552862248,1.0,0.0,5791
22,0,0,0.0,0.2769810683854297,0.06395984850806428,1.0,6304
23,0,0,0.0,0.0,1.0,0.19443626368898434,6554
24,0,0,0.0,0.0,0.0,1.0,7539
25,0,0,,,,,9056
26,0,0,,,,,10149
27,0,0,,,,,10673
28,0,0,,,,,11682
29,0,0,,,,,13008
30,0,0,,,,,14029
31,0,0,,,,,14309
32,0,0,,,,,14853
33,0,0,,,,,15347
34,0,0,,,,,16127
35,0,0,,,,,17696
36,0,10,,,,,18735
37,0,0,,,,,19518
38,0,0,,,,,20568
39,0,10,,,,,21512
40,0,0,,,,,22161
41,0,10,,,,,22727
42,0,0,,,,,0
43,0,0,,,,,39
44,0,0,,,,,82
45,0,10,,,,,159
46,0,10,,,,,3
