agent id,time step,trial,size,genotype
0,30.1,-1,1,[]
0,60.14,-1,1,['0001111001', '10110', '100000011001001001100110001000', '01101', '']
0,90.18,-1,1,['0001111001', '10110', '100000011001001001100110001000', '01101', '']
0,120.22,-1,1,['0001111001', '10110', '100000011001001001100110001000', '01101', '']
0,150.26,-1,1,['0001111001', '10110', '100000011001001001100110001000', '01101', '']
0,180.3,-1,1,['0001111001', '10110', '100000011001001001100110001000', '01101', '']
