agent id,time step, time since last block,size,collisions,type,collected,pos x,pos y
1,30.09,0,5,0,pso-rdpso,0,-0.13477805524391331,0.17006666987077854
2,30.09,0,5,2,pso-rdpso,0,-0.07342119721667667,0.040828576567708975
0,30.09,0,5,1,pso-rdpso,1,-0.00420925861504666,0.03316130768583978
3,30.09,0,5,0,pso-rdpso,0,0.45686822734108046,-0.09659330565879966
4,30.09,0,5,0,pso-rdpso,0,0.14626374164973796,-0.22218884746575457
0,30.1,0,5,1,pso-rdpso,1,-0.0042115221871609045,0.03315915505333865
3,30.1,0,5,0,pso-rdpso,0,0.4568668059467551,-0.09696828052188831
2,30.1,0,5,2,pso-rdpso,0,-0.07342133632929931,0.040453598959977896
1,30.1,0,5,0,pso-rdpso,0,-0.13477506526823083,0.17007228088268758
4,30.1,0,5,0,pso-rdpso,0,0.14663871889681218,-0.22218937532519062
0,30.11,0,5,1,pso-rdpso,1,-0.00421377545455301,0.03315700956152456
2,30.11,0,5,2,pso-rdpso,0,-0.07342147578622066,0.04007862135243838
4,30.11,0,5,0,pso-rdpso,0,0.14701369614333248,-0.22218990353649598
