agent id,0,time step, 14.41,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,0,size,5,collisions,0,size,5
agent id,1,time step, 14.41,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,4,size,5,collisions,0,size,5
agent id,4,time step, 14.41,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,4,size,5,collisions,0,size,5
agent id,2,time step, 14.42,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,0,size,5,collisions,0,size,5
agent id,3,time step, 14.42,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,0,size,5,collisions,0,size,5
agent id,0,time step, 24.98,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,5,size,5,collisions,0,size,5
agent id,2,time step, 24.98,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,0,size,5,collisions,0,size,5
agent id,1,time step, 24.98,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,6,size,5,collisions,0,size,5
agent id,3,time step, 24.98,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,5,size,5,collisions,0,size,5
agent id,4,time step, 24.98,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,4,size,5,collisions,0,size,5
agent id,0,time step, 35.36,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,12,size,5,collisions,0,size,5
agent id,1,time step, 35.36,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,13,size,5,collisions,0,size,5
agent id,2,time step, 35.36,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,0,size,5,collisions,0,size,5
agent id,3,time step, 35.36,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,11,size,5,collisions,0,size,5
agent id,4,time step, 35.36,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,9,size,5,collisions,0,size,5
agent id,0,time step, 45.78,straight,0.25,alternating-left,0.25,alternating-right,0.25,true random,0.25,time since last block,18,size,5,collisions,0,size,5
